"feature","%IncMSE","IncNodePurity"
"dim182","0.582629668515209","0.0803549052021758"
"dim189","1.74813634762576","0.0333192421788962"
"dim191","0.184545126524689","0.101650090297218"
"dim193","1.42503235122478","0.170658447809531"
"dim194","1.18032832604185","0.216039492668579"
"dim195","0.985974025039668","0.0663226763761374"
"dim196","1.41541259289742","0.153316748339841"
"dim197","0.517500935371874","0.082104191335809"
"dim198","0.678909638762691","0.178994427912785"
"dim200","1.26799144504408","0.0802817495010939"
"dim201","1.11717010533626","0.143984196153059"
"dim202","1.11333069459481","0.08240688175454"
"dim203","1.37853012612197","0.026418810598686"
"dim205","0.983664624105332","0.0288030476564076"
"dim206","0.366704016889896","0.0755655963841825"
"dim207","1.24101974910228","0.117897481113694"
"dim208","2.12774019950056","0.0915449332436767"
"dim209","0.724280871749697","0.0501042359139955"
"dim211","0.311293297101136","0.395947916384912"
"dim212","3.0017476151099","0.145115351120888"
"dim214","0.443804438256012","0.0794671370167821"
"dim218","1.03856361543025","0.103353056983379"
"dim219","0.168339084525438","0.0254243381508811"
"dim220","0.475229636767449","0.092599944468322"
"dim221","1.05356878057734","0.0207327166136099"
"dim223","0.229725556135255","0.0841742747450756"
"dim224","0.585073665457333","0.0582657160702947"
"dim227","0.534578954860373","0.0495282462125146"
"dim231","0.493113968215276","0.0927537512566966"
"dim232","1.42275089949633","0.0581795321442768"
"dim235","0.75847610355292","0.0650752509742687"
"dim237","0.983301942719973","0.0659197289670823"
"dim238","0.696857516655807","0.0987042352070935"
"dim239","0.096113120079486","0.060874745014689"
"dim241","2.1914666865747","0.0350985092755444"
"dim242","1.40329379841252","0.0159636948624981"
"dim244","1.80825953792412","0.0416951879884232"
"dim245","1.62427600605569","0.0550731442090116"
"dim246","0.864175414007325","0.0724125018744109"
"dim247","1.01424321311806","0.190515507753904"
"dim248","1.07476369507106","0.167379175752872"
"dim249","0.487500952414723","0.0775456575117575"
"dim251","0.046832561490322","0.129617366291545"
"dim253","1.53173053908662","0.102152400960487"
"dim255","0.547586273827726","0.0804984210710468"
"dim256","0.230938560198836","0.0578191112889556"
"dim257","0.468081619633016","0.0288419166940673"
"dim260","1.02826099260608","0.0286240055303915"
"dim263","1.57668820023345","0.0193110171904961"
"dim268","1.57809815367085","0.0979959029586466"
"dim270","0.594755177150092","0.060726027755624"
"dim272","1.63580496998762","0.106243572497731"
"dim274","1.72129371366677","0.108592040474551"
"dim275","0.365491288520024","0.0704010809380583"
"dim277","1.73046094294919","0.0761605029988407"
"dim278","1.01382549332545","0.146427099591031"
"dim279","0.672228827630196","0.0838281833790214"
"dim282","0.566810559841","0.0506255106275713"
"dim286","1.5949700023583","0.0529213354954358"
"dim287","0.402958376877729","0.148942501255736"
"dim288","0.0179970703910049","0.120554338922578"
"dim289","0.554438738097674","0.13357550988654"
"dim292","0.925865820123911","0.0917890359312728"
"dim293","1.22957847062525","0.0546801637838205"
"dim296","0.805109237961384","0.136660144261115"
"dim297","1.36209979128906","0.0651962017427806"
"dim298","0.0661720293537807","0.0669758056624069"
"dim304","1.2874000518599","0.0155336583544256"
"dim305","0.235235688213544","0.202631493319204"
"dim307","0.0989429074175984","0.179135853590879"
"dim308","0.725168592560357","0.0853744839886816"
"dim310","1.06910227546169","0.0384562986762039"
"dim317","0.232447839713389","0.109157530134285"
"dim319","0.108974430786803","0.0339445317409744"
"dim320","0.0575509223430996","0.0527909699193545"
"dim321","0.812111432811536","0.019609160085159"
"dim326","1.09402541939573","0.109155098115389"
"dim327","1.21255619239693","0.0997638128179574"
"dim328","2.26398609608189","0.130485900018222"
"dim331","0.0542093130503607","0.0320010566862123"
"dim332","0.851778766535715","0.170657156131739"
"dim333","0.0994933569302917","0.0540687452678949"
"dim334","0.849669379845739","0.0260718430664876"
"dim335","0.780208110824328","0.0499031997875703"
"dim336","1.20630834642799","0.0509511937186767"
"dim338","1.10469203468771","0.0656644327196482"
"dim339","0.813604768546564","0.244105028797689"
"dim340","0.856218335553988","0.090117708225426"
"dim342","0.326637635095349","0.0865551970448693"
"dim343","0.100146667304384","0.0625333930333202"
"dim344","1.25796233186147","0.0456678459198247"
"dim346","0.201378318214634","0.176255825584792"
"dim347","0.78007570458623","0.13196563237816"
"dim350","1.39179558147814","0.126197553013531"
"dim355","0.6802443800274","0.0539469194077044"
"dim357","0.316481246549561","0.05850973953352"
"dim358","1.57242618488966","0.116977348063124"
"dim359","0.831036542593835","0.0973282355723936"
"dim360","0.768439303859283","0.0762462744441152"
"dim361","1.75505829852486","0.0261551633202209"
"dim363","0.00469331378197492","0.0985359618999571"
"dim364","0.681125822165916","0.0424772121759787"
"dim365","0.867002491996532","0.0254723132196661"
"dim370","1.03081372178375","0.044543492595184"
"dim373","2.12415716587004","0.0593348160886065"
"dim375","0.532235359281215","0.131713751862963"
"dim377","1.23162032594159","0.0391796908248613"
"dim378","1.15705723383709","0.017555504733923"
"dim379","0.818442282856243","0.0373160347323473"
"dim380","0.556912888225017","0.0141613222154794"
"dim382","0.989730737125496","0.0270822688340224"
"dim383","1.64090059483561","0.0472172964239657"
"dim384","0.9393488056164","0.0697010951011628"
"dim385","0.841433326152994","0.0824692741253632"
"dim386","0.21065319860099","0.0524439506492111"
"dim387","2.19327906549303","0.0407192038802541"
"dim392","0.0273371582315348","0.0428064956689045"
"dim396","0.302287752514736","0.0434168718642583"
"dim398","1.1734405670547","0.0182624355794652"
"dim399","0.665304876412806","0.0655691822636761"
"dim400","0.607576646537276","0.092428760453647"
"dim401","1.09136433087749","0.0702094083448296"
"dim405","0.135926444716613","0.0524947079064038"
"dim407","0.754403312395911","0.0407162378067008"
"dim417","1.76492184636964","0.029125976621946"
"dim420","0.758581787801248","0.0194216161998694"
"dim421","0.93856182538256","0.034285759121402"
"dim422","0.304372187716109","0.0593855173679958"
"dim426","0.634213009789008","0.0851381011044516"
"dim427","1.16730947880836","0.0196355406678007"
"dim428","1.42346683411766","0.0487251227336117"
"dim429","0.509027941370141","0.0116781001698285"
"dim430","1.44552768174443","0.0178716764696621"
"dim431","1.38856955600999","0.0128716126415224"
"dim433","0.265736084989344","0.027856001501796"
"dim435","0.999166885321667","0.0206989692303085"
"dim436","0.189850105115287","0.0447227536193753"
"dim437","0.0508565068975316","0.0617626867615289"
"dim439","0.617015866494274","0.0478336007446203"
"dim443","1.54107509943496","0.0667320400785863"
"dim449","1.10252725749617","0.0138261146513663"
"dim450","1.78063212524597","0.0452732256731294"
"dim454","0.382079454526515","0.0574092840389511"
"dim456","1.40718255273067","0.0128722201778011"
"dim457","0.862833668161135","0.0225027675126869"
"dim460","0.0224433918366259","0.047282349142269"
"dim461","1.11923100873638","0.0421637477465948"
"dim465","0.392515509313807","0.0508729317846326"
"dim466","0.214883605852035","0.0365621566011232"
"dim467","1.54442812910093","0.0174973853802728"
"dim469","0.533609614392338","0.0276361936839522"
"dim470","0.0806805895226838","0.0326554973318801"
"dim471","1.01980119468544","0.0450391022228658"
"dim472","1.32766842519632","0.0447850438271907"
"dim476","0.535820631191621","0.0659491396246791"
"dim481","2.04514340910478","0.0342257165657276"
"dim484","0.841084538828045","0.0873184103841922"
"dim485","0.958043223299598","0.0592860311670839"
"dim489","1.30519200801306","0.142099130326219"
"dim491","0.965816776031868","0.0301146869684797"
"dim493","1.61269294908919","0.0179502446013882"
"dim494","0.437270168931037","0.103594156176741"
"dim495","0.190330109415002","0.152969404753306"
"dim497","0.969256851867917","0.034472954401118"
"dim498","1.45124548596229","0.0424811348695189"
"dim499","0.540070253536088","0.0991945752604554"
"dim501","0.577982450402316","0.0337363683531279"
"dim503","0.701832302984194","0.0433099090637282"
"dim504","1.46827542533079","0.01908040594412"
"dim505","0.763468152414712","0.0334467896437323"
"dim508","1.1018168916247","0.058872862617212"
"dim510","1.07401830614105","0.0986470659657248"
"dim514","0.69770597064682","0.0165150802634551"
"dim515","1.21551266463196","0.0132122012417427"
"dim516","0.327421714889202","0.113168745369743"
"dim523","1.05205060491505","0.0331367307995534"
"dim524","0.930494276957797","0.0855984753054617"
"dim530","1.69506672901475","0.0202675523010803"
"dim533","1.66581551601787","0.10416386968909"
"dim535","0.273204700910174","0.0290392002097557"
"dim536","0.828695829114806","0.0660124616889088"
